| Name                          | Version                           | License                                                                                          | URL                                                             |
| Babel                         | 2.9.1                             | BSD License                                                                                      | http://babel.pocoo.org/                                         |
| Jinja2                        | 3.1.1                             | BSD License                                                                                      | https://palletsprojects.com/p/jinja/                            |
| MarkupSafe                    | 2.1.1                             | BSD License                                                                                      | https://palletsprojects.com/p/markupsafe/                       |
| Pillow                        | 9.1.0                             | Historical Permission Notice and Disclaimer (HPND)                                               | https://python-pillow.org                                       |
| PyJWT                         | 1.7.1                             | MIT License                                                                                      | http://github.com/jpadilla/pyjwt                                |
| PyYAML                        | 6.0                               | MIT License                                                                                      | https://pyyaml.org/                                             |
| Pygments                      | 2.11.2                            | BSD License                                                                                      | https://pygments.org/                                           |
| QtPy                          | 2.0.1                             | MIT License                                                                                      | https://github.com/spyder-ide/qtpy                              |
| Send2Trash                    | 1.8.0                             | BSD License                                                                                      | https://github.com/arsenetar/send2trash                         |
| Sphinx                        | 4.5.0                             | BSD License                                                                                      | https://www.sphinx-doc.org/                                     |
| alabaster                     | 0.7.12                            | BSD License                                                                                      | https://alabaster.readthedocs.io                                |
| appnope                       | 0.1.3                             | BSD License                                                                                      | http://github.com/minrk/appnope                                 |
| argon2-cffi                   | 21.3.0                            | MIT License                                                                                      | UNKNOWN                                                         |
| argon2-cffi-bindings          | 21.2.0                            | MIT License                                                                                      | https://github.com/hynek/argon2-cffi-bindings                   |
| astroid                       | 2.11.2                            | GNU Lesser General Public License v2 (LGPLv2)                                                    | https://github.com/PyCQA/astroid                                |
| asttokens                     | 2.0.5                             | Apache 2.0                                                                                       | https://github.com/gristlabs/asttokens                          |
| attrs                         | 20.3.0                            | MIT License                                                                                      | https://www.attrs.org/                                          |
| backcall                      | 0.2.0                             | BSD License                                                                                      | https://github.com/takluyver/backcall                           |
| beautifulsoup4                | 4.11.1                            | MIT License                                                                                      | https://www.crummy.com/software/BeautifulSoup/bs4/              |
| black                         | 22.10.0                           | MIT License                                                                                      | UNKNOWN                                                         |
| bleach                        | 5.0.0                             | Apache Software License                                                                          | https://github.com/mozilla/bleach                               |
| cachetools                    | 4.2.4                             | MIT License                                                                                      | https://github.com/tkem/cachetools/                             |
| certifi                       | 2021.5.30                         | Mozilla Public License 2.0 (MPL 2.0)                                                             | https://certifiio.readthedocs.io/en/latest/                     |
| cffi                          | 1.15.0                            | MIT License                                                                                      | http://cffi.readthedocs.org                                     |
| charset-normalizer            | 2.0.12                            | MIT License                                                                                      | https://github.com/ousret/charset_normalizer                    |
| cirq                          | 1.0.0                             | Apache 2                                                                                         | http://github.com/quantumlib/cirq                               |
